ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_HORASSEMANATRABAJA,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,PUNT_MATEMATICAS,PUNT_INGLES,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,PUNT_GLOBAL
F,CHOCO,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,26.0,38.0,33.0,32.0,24.0,147.0
M,SUCRE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,NO APLICA,RURAL,24.0,35.0,29.0,35.0,25.0,144.0
F,RISARALDA,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 1,9 o más,Si,No,MÁS DE 100 LIBROS,Más de 30 horas,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,27.0,31.0,35.0,32.0,23.0,147.0
M,CESAR,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 1,9 o más,No,No,11 A 25 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Todos o casi todos los días,NOCHE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,28.0,47.12840074852454,31.0,32.0,19.0,138.0
F,CAUCA,Secundaria (Bachillerato) incompleta,Ninguno,Sin Estrato,3 a 4,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,18.0,34.0,30.0,32.0,32.0,142.0
M,CAUCA,Técnica o tecnológica incompleta,Técnica o tecnológica completa,Estrato 1,1 a 2,No,No,0 A 10 LIBROS,Entre 21 y 30 horas,1 o 2 veces por semana,1 o 2 veces por semana,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,26.0,33.0,31.0,32.0,29.0,149.0
M,AMAZONAS,Secundaria (Bachillerato) completa,Primaria completa,Estrato 4,3 a 4,No,Si,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,30.0,37.0,37.0,37.0,29.0,168.0
F,CORDOBA,Primaria incompleta,Ninguno,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,36.0,36.0,32.0,36.0,30.0,168.0
F,CORDOBA,Primaria incompleta,Primaria completa,Estrato 4,5 a 6,No,Si,26 A 100 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,22.0,29.0,34.0,43.0,37.0,168.0
M,CORDOBA,Primaria completa,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,Todos o casi todos los días,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,26.0,36.0,28.0,39.0,41.0,168.0
F,CORDOBA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,29.0,37.0,30.0,37.0,38.0,169.0
F,SUCRE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Sin Estrato,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,34.0,31.0,35.0,37.0,30.0,169.0
M,ANTIOQUIA,Secundaria (Bachillerato) incompleta,Primaria incompleta,Sin Estrato,9 o más,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,27.0,36.0,39.0,36.0,32.0,168.0
F,CORDOBA,Técnica o tecnológica completa,Primaria incompleta,Estrato 2,3 a 4,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,TARDE,MIXTO,OFICIAL,ACADÉMICO,RURAL,28.0,39.0,35.0,34.0,36.0,168.0
M,CORDOBA,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,NOCHE,MIXTO,OFICIAL,ACADÉMICO,URBANO,38.0,35.0,39.0,35.0,23.0,169.0
M,CAUCA,Primaria incompleta,Educación profesional completa,Estrato 2,5 a 6,Si,No,11 A 25 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,29.0,38.0,30.0,38.0,36.0,168.0
F,CAUCA,Primaria completa,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,23.0,46.0,34.0,42.0,31.0,168.0
F,LA GUAJIRA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Sin Estrato,9 o más,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,NO APLICA,RURAL,35.0,36.0,29.0,36.0,34.0,168.0
M,CAUCA,Educación profesional completa,Postgrado,Estrato 2,3 a 4,Si,Si,26 A 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO,URBANO,75.0,80.0,69.0,73.0,65.0,356.0
M,CORDOBA,Técnica o tecnológica completa,Técnica o tecnológica completa,Estrato 1,3 a 4,No,No,26 A 100 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,71.0,79.0,80.0,73.0,71.0,371.0
F,SUCRE,Educación profesional completa,Postgrado,Estrato 1,3 a 4,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,68.0,80.0,59.0,75.0,71.0,346.0
F,CORDOBA,Educación profesional completa,Educación profesional completa,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,66.0,58.0,67.0,79.0,69.0,347.0
M,SUCRE,Postgrado,Postgrado,Estrato 5,3 a 4,Si,Si,26 A 100 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,80.0,100.0,81.0,81.0,65.0,393.0
F,CORDOBA,No sabe,No sabe,Estrato 1,3 a 4,Si,No,11 A 25 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,79.0,72.0,67.0,68.0,80.0,367.0
F,CORDOBA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,7 a 8,No,No,0 A 10 LIBROS,Más de 30 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,ACADÉMICO,URBANO,73.0,100.0,64.0,60.0,69.0,345.0
F,CAUCA,Educación profesional completa,Educación profesional completa,Sin Estrato,9 o más,Si,No,MÁS DE 100 LIBROS,Entre 11 y 20 horas,3 a 5 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,26.0,47.12840074852454,32.0,39.0,31.0,160.0
M,CHOCO,No sabe,No sabe,Sin Estrato,5 a 6,No,No,11 A 25 LIBROS,Entre 21 y 30 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,30.0,37.0,39.0,37.0,29.0,170.0
F,SUCRE,Educación profesional completa,Educación profesional completa,Estrato 3,3 a 4,No,No,26 A 100 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,30.0,34.0,36.0,36.0,34.0,170.0
M,CORDOBA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,38.0,30.0,33.0,32.0,34.0,170.0
